Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Coding_UCSCL2_0	0.014259139875316193	0.014447785981380298	0.009474388128544562	1.0132298376840154	0.6644431719858187	0.0016830728650901634	6.854951530848031e-07	2.775087890921423e-07	2.4701745675420588
Coding_UCSC.flanking.500L2_0	0.04936288396266565	0.0013681093865067363	0.025759433053764123	0.02771534555277343	0.5218380893881039	0.7554483997952934	-1.489567533163883e-07	8.334911103571808e-08	-1.7871426757335782
Intron_UCSCL2_0	0.3874513328700006	-0.157995952526655	0.17976478149747155	-0.407782704878877	0.4639673844089911	5.263961357943465e-05	1.8896077235337226e-08	8.7616216821285e-09	2.1566871888431867
Intron_UCSC.flanking.500L2_0	0.009340297750823288	0.00816395276835084	0.0063597643860119025	0.874057014684702	0.6808952514871733	0.26678111325167264	-1.1119666204592426e-07	2.7370207083042757e-07	-0.406268983309287
Promoter_UCSCL2_0	0.04633528479948278	-0.015493018771030709	0.023605931986056268	-0.33436761720742997	0.5094590890767497	0.0012016392179486713	1.1662932663901171e-07	6.977976903131608e-08	1.6713916978812335
Promoter_UCSC.flanking.500L2_0	0.010589886966611695	-0.006765319022638403	0.005056621715810488	-0.6388471419920181	0.4774953436002904	0.24505885087035076	-3.2244288082873395e-07	2.3604970773368882e-07	-1.3659956791495538
UTR_3_UCSCL2_0	0.011168130224340602	0.0031822209238855426	0.006356190351678261	0.2849376627924689	0.5691364824727004	0.006135384928362166	-1.9640604111275738e-07	2.0326443462064513e-07	-0.9662587627752605
UTR_3_UCSC.flanking.500L2_0	0.015275217453518687	-0.0035609239630050005	0.008112112671465832	-0.23311772639837164	0.5310636458139053	0.13486042303769233	-2.1332802642888492e-07	1.2910274031484302e-07	-1.6523896077545805
UTR_5_UCSCL2_0	0.0054601798073159935	0.001357708775507597	0.003127712749465777	0.2486564222094716	0.5728222988691715	0.0285274660373489	9.215648608399796e-09	2.2099094357470556e-07	0.0417014763561316
UTR_5_UCSC.flanking.500L2_0	0.02138728391576202	-0.0023974789730606223	0.011149358275800183	-0.11209833761517171	0.5213078163507858	0.8903688169196492	-1.457540565062672e-07	1.2045592779291895e-07	-1.2100197904484982
