 ,Area,Mean,IntDen,RawIntDen
1,134763.599,284.677,38364100.146,12975294
2,222483.085,777.562,172994491.008,58509241
3,434.635,125.741,54651.712,18484
4,199958.916,146.929,29379801.063,9936674
5,297311.343,547.914,162900990.435,55095473
6,121.225,97.268,11791.334,3988
7,154177.316,224.740,34649809.092,11719067
8,218453.098,830.890,181510531.008,61389489
9,476.029,76.727,36524.161,12353
10,269465.108,585.421,157750513.068,53353507
11,289121.274,1368.436,395643888.084,133812490
12,564.730,119.351,67401.018,22796
13,384223.650,565.438,217254704.851,73478686
14,422119.721,2155.249,909773180.936,307698459
15,322.281,176.881,57005.248,19280
16,255308.410,658.759,168186657.166,56883162
17,308257.061,2225.264,685953411.126,231999373
18,165.575,215.250,35640.107,12054
19,207808.965,139.055,28896832.379,9773327
20,267765.003,453.521,121436922.438,41071725
21,1478.352,106.372,157255.244,53186
22,210180.241,124.426,26151946.906,8844967
23,216123.216,313.399,67732710.086,22908183
24,792.397,67.474,53466.074,18083
25,95398.046,123.022,11736085.503,3969314
26,195544.558,468.587,91629723.937,30990499
27,1259.556,82.291,103650.206,35056
