 ,Area,Mean,IntDen,RawIntDen
1,203196.507,221.187,44944498.570,15200880.000
2,251225.202,632.455,158888684.341,53738453.000
3,1031.890,110.100,113611.341,38425.000
4,234274.420,195.695,45846307.991,15505885.000
5,349432.117,597.026,208620086.248,70558333.000
6,2040.126,100.693,205425.862,69478.000
7,242281.174,195.579,47384997.308,16026292.000
8,341182.913,535.599,182737116.593,61804338.000
9,1194.508,104.812,125198.663,42344.000
10,259415.272,436.367,113200290.940,38285977.000
11,308029.394,1467.486,452028718.997,152882656.000
12,366.631,186.976,68551.176,23185.000
13,260095.314,426.256,110867132.374,37496869.000
14,295770.901,1857.010,549249407.066,185764100.000
15,1064.413,104.669,111411.553,37681.000
16,222175.588,433.378,96286059.237,32565339.000
17,281927.614,1567.840,442017255.125,149496634.000
18,428.722,115.566,49545.484,16757.000
19,247653.504,148.628,36808205.770,12449068.000
20,356137.921,462.600,164749335.334,55720610.000
21,2054.909,112.508,231193.535,78193.000
22,237109.899,336.558,79801344.927,26989970.000
23,267874.401,1081.335,289661854.134,97967832.000
24,946.145,123.278,116639.005,39449.000
25,238162.485,206.274,49126758.951,16615381.000
26,253034.705,630.499,159538074.051,53958086.000
27,1034.846,82.740,85623.183,28959.000
