 ,Area,Mean,IntDen,RawIntDen
1,211.004,1010.353,213188.094,2637022.000
2,211.004,859.661,181391.400,2243714.000
3,231.619,693.700,160674.007,1987451.000
4,231.619,960.689,222513.561,2752373.000
5,229.355,943.199,216327.600,2675856.000
6,229.355,1403.226,321837.122,3980952.000
7,214.965,977.364,210099.035,2598812.000
8,214.965,1671.332,359277.635,4444071.000
9,122.641,636.912,78111.321,966195.000
10,122.641,640.607,78564.533,971801.000
11,182.465,450.829,82260.814,1017522.000
12,182.465,447.436,81641.709,1009864.000
13,181.657,379.315,68905.180,852320.000
14,181.657,486.121,88307.399,1092315.000
15,189.014,1725.744,326189.534,4034789.000
16,189.014,1982.504,374720.829,4635095.000
17,160.799,1746.327,280808.093,3473445.000
18,160.799,2433.096,391239.979,4839428.000
19,74.377,398.388,29630.796,366517.000
20,74.377,384.351,28586.773,353603.000
21,204.940,752.072,154129.745,1906502.000
22,204.940,1241.863,254507.596,3148122.000
23,283.925,958.875,272248.546,3367568.000
24,283.925,1740.183,494081.478,6111522.000
25,200.898,1084.577,217889.269,2695173.000
26,200.898,1476.148,296555.262,3668229.000
27,206.315,800.023,165056.332,2041658.000
28,206.315,1405.012,289874.373,3585590.000
29,186.508,523.040,97551.051,1206654.000
30,186.508,724.251,135078.391,1670847.000
31,233.478,1761.568,411287.658,5087407.000
32,233.478,1904.322,444617.645,5499681.000
33,192.167,1051.398,202043.794,2499173.000
34,192.167,1655.799,318189.671,3935835.000
35,152.634,364.760,55674.694,688666.000
36,152.634,461.618,70458.522,871534.000
37,107.119,383.126,41039.942,507642.000
38,107.119,421.927,45196.227,559053.000
39,103.642,365.883,37920.971,469062.000
40,103.642,693.913,71918.812,889597.000
41,131.453,683.140,89800.592,1110785.000
42,131.453,719.179,94538.066,1169385.000
43,259.591,1412.839,366760.095,4536625.000
44,259.591,1887.404,489952.924,6060454.000
45,185.538,1008.713,187154.221,2314997.000
46,185.538,1326.397,246096.559,3044082.000
47,241.078,1438.013,346672.640,4288154.000
48,241.078,647.907,156195.801,1932058.000
49,156.595,631.209,98844.316,1222651.000
50,156.595,884.490,138506.996,1713257.000
51,338.252,1150.359,389111.835,4813104.000
52,338.252,1827.268,618077.657,7645288.000
53,261.612,521.739,136493.084,1688346.000
54,261.612,706.757,184896.160,2287066.000
55,271.071,1334.657,361786.556,4475105.000
56,271.071,2043.276,553872.600,6851106.000
57,186.669,1357.968,253491.141,3135549.000
58,186.669,1113.113,207784.141,2570178.000
59,333.644,893.337,298056.863,3686803.000
60,333.644,1333.363,444868.990,5502790.000
61,180.364,419.568,75674.755,936056.000
62,180.364,913.766,164809.999,2038611.000
63,237.520,378.834,89980.794,1113014.000
64,237.520,726.916,172657.309,2135678.000
65,73.245,86.745,6353.631,78591.000
66,73.245,189.453,13876.432,171644.000
