 ,Area,Mean,IntDen,RawIntDen
1,176.48,519.39,91662.76,1133819.00
2,176.48,1273.10,224680.67,2779179.00
3,114.07,778.18,88768.45,1098018.00
4,114.07,998.30,113877.47,1408603.00
5,197.50,988.96,195322.81,2416038.00
6,197.50,451.43,89159.09,1102850.00
7,167.43,749.82,125541.35,1552879.00
8,167.43,1012.07,169449.81,2096003.00
9,150.05,232.14,34831.18,430843.00
10,150.05,617.79,92696.92,1146611.00
11,226.69,317.39,71947.83,889956.00
12,226.69,264.69,60001.24,742183.00
13,213.99,248.82,53245.73,658621.00
14,213.99,662.03,141670.84,1752392.00
15,178.02,493.77,87899.94,1087275.00
16,178.02,1153.50,205344.75,2540004.00
17,140.83,138.12,19452.02,240611.00
18,140.83,260.88,36740.24,454457.00
19,145.84,1091.46,159181.54,1968990.00
20,145.84,1318.75,192330.28,2379022.00
21,215.05,258.14,55512.92,686665.00
22,215.05,304.20,65416.99,809173.00
23,201.06,1359.47,273333.72,3380991.00
24,201.06,955.80,192171.98,2377064.00
25,139.70,635.39,88762.63,1097946.00
26,139.70,764.38,106782.98,1320848.00
27,153.20,404.12,61911.75,765815.00
28,153.20,556.21,85211.95,1054026.00
29,155.79,390.43,60823.10,752349.00
30,155.79,695.49,108347.48,1340200.00
31,153.12,347.90,53269.82,658919.00
32,153.12,466.01,71355.57,882630.00
33,174.22,202.00,35191.91,435305.00
34,174.22,320.85,55898.71,691437.00
35,151.02,167.09,25233.19,312121.00
36,151.02,259.37,39169.37,484504.00
37,110.27,192.79,21259.45,262968.00
38,110.27,178.82,19719.29,243917.00
39,125.47,429.21,53853.03,666133.00
40,125.47,765.41,96035.95,1187913.00
41,181.98,298.07,54243.51,670963.00
42,181.98,393.75,71654.77,886331.00
43,153.44,531.98,81628.29,1009698.00
44,153.44,956.20,146721.42,1814865.00
45,227.41,566.17,128756.45,1592648.00
46,227.41,499.30,113547.79,1404525.00
47,45.35,903.96,40998.06,507124.00
48,45.35,1119.42,50769.71,627994.00
49,156.51,295.05,46179.05,571210.00
50,156.51,595.39,93187.32,1152677.00
51,163.95,399.54,65504.63,810257.00
52,163.95,549.86,90151.29,1115123.00
53,211.73,262.02,55478.24,686236.00
54,211.73,499.42,105741.95,1307971.00
55,238.73,1064.07,254027.87,3142188.00
56,238.73,1323.60,315986.42,3908582.00
57,56.35,16.72,942.16,11654.00
58,56.35,14.55,819.60,10138.00
