 ,Area,Mean,IntDen,RawIntDen
1,130.968,419.936,54998.027,170074.000
2,130.968,510.491,66857.880,206749.000
3,109.948,353.315,38846.314,120127.000
4,109.948,834.303,91730.102,283663.000
5,92.809,229.631,21311.841,65904.000
6,92.809,1459.592,135463.614,418903.000
7,151.340,124.880,18899.448,58444.000
8,151.340,1440.085,217943.192,673960.000
9,76.964,350.761,26995.839,83481.000
10,76.964,104.971,8078.929,24983.000
11,43.656,225.896,9861.706,30496.000
12,43.656,500.756,21860.935,67602.000
13,171.066,306.055,52355.713,161903.000
14,171.066,777.900,133072.564,411509.000
15,156.838,281.645,44172.657,136598.000
16,156.838,1160.596,182025.380,562889.000
17,69.849,238.417,16653.271,51498.000
18,69.849,289.546,20224.647,62542.000
19,56.914,165.278,9406.715,29089.000
20,56.914,299.847,17065.577,52773.000
21,102.511,131.647,13495.171,41732.000
22,102.511,841.416,86254.035,266729.000
23,129.027,193.376,24950.803,77157.000
24,129.027,723.870,93399.051,288824.000
25,109.948,587.568,64602.002,199773.000
26,109.948,1054.797,115973.032,358631.000
27,167.509,343.616,57558.850,177993.000
28,167.509,711.488,119180.933,368551.000
29,110.272,206.249,22743.431,70331.000
30,110.272,430.516,47473.690,146806.000
31,108.978,207.430,22605.349,69904.000
32,108.978,176.252,19207.626,59397.000
33,78.904,164.393,12971.300,40112.000
34,78.904,782.553,61746.583,190943.000
35,39.452,245.287,9677.058,29925.000
36,39.452,115.451,4554.766,14085.000
37,157.485,271.887,42818.031,132409.000
38,157.485,540.292,85087.614,263122.000
39,136.788,186.494,25510.245,78887.000
40,136.788,756.605,103494.882,320044.000
41,110.272,143.402,15813.137,48900.000
42,110.272,261.845,28874.013,89289.000
43,70.820,85.292,6040.360,18679.000
44,70.820,338.078,23942.513,74039.000
45,49.800,5.383,268.080,829.000
46,49.800,21.578,1074.582,3323.000
