 ,Area,Mean,IntDen,RawIntDen
1,127.734,669.853,85562.979,264592.000
2,127.734,261.494,33401.615,103290.000
3,151.017,556.805,84087.086,260028.000
4,151.017,292.073,44107.982,136398.000
5,181.415,911.936,165438.402,511596.000
6,181.415,315.403,57218.657,176941.000
7,90.222,609.756,55013.549,170122.000
8,90.222,338.871,30573.683,94545.000
9,134.848,732.614,98791.687,305500.000
10,134.848,296.379,39966.169,123590.000
11,144.226,766.457,110543.208,341840.000
12,144.226,297.018,42837.757,132470.000
13,189.499,651.176,123397.123,381589.000
14,189.499,265.614,50333.637,155650.000
15,131.614,705.400,92840.902,287098.000
16,131.614,229.423,30195.331,93375.000
17,103.481,543.562,56248.203,173940.000
18,103.481,225.203,23304.167,72065.000
19,182.385,894.161,163081.307,504307.000
20,182.385,317.387,57886.431,179006.000
21,87.312,713.319,62281.125,192596.000
22,87.312,473.230,41318.532,127772.000
23,86.665,510.884,44275.815,136917.000
24,86.665,224.616,19466.328,60197.000
25,125.147,621.003,77716.558,240328.000
26,125.147,95.581,11961.717,36990.000
27,194.026,527.223,102295.154,316334.000
28,194.026,112.510,21829.891,67506.000
29,93.456,1146.931,107187.525,331463.000
30,93.456,617.758,57733.150,178532.000
31,140.669,649.582,91376.004,282568.000
32,140.669,298.439,41981.131,129821.000
33,132.585,1134.010,150352.216,464944.000
34,132.585,573.668,76059.574,235204.000
35,123.207,2039.318,251257.495,776980.000
36,123.207,390.118,48065.147,148635.000
37,124.500,1183.930,147399.460,455813.000
38,124.500,586.086,72967.766,225643.000
39,167.833,2129.291,357364.617,1105102.000
40,167.833,494.975,83072.975,256892.000
41,95.720,1170.774,112065.991,346549.000
42,95.720,196.926,18849.648,58290.000
43,153.604,1240.678,190573.206,589322.000
44,153.604,232.851,35766.794,110604.000
45,100.894,461.997,46612.537,144143.000
46,100.894,241.872,24403.325,75464.000
47,121.590,363.457,44192.707,136660.000
48,121.590,129.545,15751.372,48709.000
49,106.068,341.686,36241.835,112073.000
50,106.068,141.085,14964.596,46276.000
51,168.803,1200.506,202648.751,626664.000
52,168.803,385.498,65073.162,201230.000
53,114.799,412.434,47346.926,146414.000
54,114.799,175.606,20159.325,62340.000
55,106.391,636.632,67731.968,209452.000
56,106.391,180.611,19215.387,59421.000
57,131.938,557.554,73562.457,227482.000
58,131.938,302.184,39869.479,123291.000
59,123.207,547.850,67498.814,208731.000
60,123.207,167.144,20593.297,63682.000
61,168.803,590.100,99610.477,308032.000
62,168.803,283.764,47900.225,148125.000
63,41.069,37.150,1525.693,4718.000
64,41.069,44.858,1842.279,5697.000
